activity,completed,location,imagePaths
Visit Pico Blanco,false,,
F1 Race,false,,
MLB Game,false,,
Go to Las Vegas,false,,
Visit Japan,false,,
Visit Angels Falls,false,,
Go to Disney,false,,
Visit New Zealand,false,,
Visit Nepal,false,,
Cradle of Ancient Civ,false,,
Visit Yosemite,false,,
Visit Volcán Poás,false,,
NBA Game,false,,
Snorkeling,false,,
Wu Gong Mountain,false,,
Mo'orea,false,,
Point Reyes California,false,,
Gift of the Nile,false,,
Emeral of the Equator,false,,
Visit California,false,,
Antartica Cruise,false,,
Visit Iceland,false,,
NYC Marathon,false,,
Visit Antartica,false,,
Skiing,false,,
Visit Yellowstone,false,,
Visit Egypt,false,,
Visit Greece,false,,
Stargazing,false,,
Boston Commons,false,,
NFL Game,false,,
Graveyard of Empires,false,,
New Zealand Caves,false,,
Visit Brazil,false,,
Visit Jervis Bay,false,,
Visit New York,false,,
Sedona Arizona,false,,
Visit Paris,false,,
Run a Marathon,false,,
Find the 9 eternal flames,false,,
